"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date"
"6750","The TechMap","Community and Lifestyle","Austin, Texas, United States","Operating",,2013-01-01,,"Communities, Social Entrepreneurship, Social","1-10",2,1,2014-06-15,50000,"Seed",50000,50000,50000,,,,,,,
"6751","Tourism4me","Travel and Tourism, Software","Delaware, Ohio, United States","Operating",,2014-02-20,,"Hospitality, Software, Travel, Tourism","1-10",2,1,2015-09-25,0,"Seed",0,16773,16773,1,0,,,,,
"6752","Tradecraft","Sales and Marketing, Education","San Francisco, California, United States","Operating",,2013-08-01,22,"Marketing, Business Development, Education","11-50",2,,,0,,0,0,0,,,,,,,
"6753","Think-Now","Biotechnology, Science and Engineering, Health Care","San Francisco, California, United States","Operating",,2010-01-01,,"Health Care, Neuroscience","11-50",0,1,2011-06-28,150000,"Series Unknown",150000,150000,150000,,,,,,,
"6754","The Pratley Company","Hardware, Media and Entertainment, Software, Video, Content and Publishing, Mobile","London, England, United Kingdom","Operating",,2013-04-02,1,"Video, 3D Technology, Photography, Mobile","1-10",2,1,2014-05-07,150000,"Angel",150000,150000,150000,1,0,,,,,
"6755","Trampoline","Hardware, Sales and Marketing, Mobile, Advertising","Torino, Piemonte, Italy","Operating",,2010-01-01,,"Advertising, Wireless","11-50",1,1,2014-05-16,0,"Seed",0,68536,68536,1,0,,,,,
"6756","Tastemaker Labs","Commerce and Shopping, Mobile","San Francisco, California, United States","Closed",2013-04-01,2012-06-06,,"E-Commerce, Mobile","1-10",0,1,2012-06-22,5e+05,"Angel",5e+05,5e+05,5e+05,1,0,,,,,
"6757","Technology Will Save Us","Information Technology, Software, Education","London, England, United Kingdom","Operating",,2012-01-01,30,"Education, EdTech, Information Technology","11-50",2,1,2015-12-17,0,"Seed",0,1803553,1803553,6,1,,,,,
"6758","ThrowMotion","Gaming, Media and Entertainment, Video","Sunnyvale, California, United States","Operating",,2010-01-01,,"PC Games, Video, Gaming","1-10",0,1,2011-01-05,350000,"Seed",350000,350000,350000,,,,,,,
"6759","Third Power",,"Bedford, New York, United States","Operating",,2011-01-01,,,,0,1,2015-05-06,199578,"Grant",0,0,199578,1,0,,,,,
"6760","TravelPost.com","Travel and Tourism","Seattle, Washington, United States","Was Acquired",,2004-02-01,14,"Travel, Hospitality","11-50",2,1,2005-04-13,0,"Series A",0,0,0,1,0,,,,,
"6761","Toucan Global","Mobile","San Francisco, California, United States","Closed",2013-07-01,2007-01-01,,"Mobile","1-10",0,1,2010-02-09,1600000,"Series Unknown",1600000,1600000,1600000,,,,,,,
"6762","Timbuktu Labs","Platforms, Apps, Media and Entertainment, Community and Lifestyle, Software, Consumer Goods, Education, Content and Publishing, Mobile","San Francisco, California, United States","Operating",,2012-04-27,1,"Toys, Education, Parenting, Apps, iOS, Publishing","1-10",2,3,2014-03-01,0,"Seed",0,0,0,6,0,,,,,
"6763","transOMIC","Biotechnology, Science and Engineering, Health Care","Huntsville, Alabama, United States","Operating",,2012-01-01,,"Medical, Biotechnology, Pharmaceutical","1-10",3,1,2012-03-08,20000,"Seed",20000,20000,20000,,,,,,,
"6764","Tipping Bucket","Energy, Media and Entertainment, Sustainability, Community and Lifestyle, Software, Education, Internet Services, Financial Services","Provo, Utah, United States","Closed",2012-01-01,2009-04-08,,"Education, Humanitarian, Non Profit, Clean Energy, Crowdfunding, Social Media, Enterprise Software","1-10",1,2,2010-03-01,50000,"Angel",50000,72000,72000,1,0,,,,,
"6765","techbase","Apps, Data and Analytics, Software",,"Operating",,2012-05-23,,"Analytics, Enterprise Applications","1-10",0,,,0,,0,0,0,,,,,,,
"6766","The CareVoice","Apps, Software, Health Care, Financial Services, Mobile","Shanghai, Shanghai, China","Operating",,2014-03-01,,"Health Care, Health Insurance, Apps, Medical, SaaS, mHealth, Mobile","11-50",2,3,2017-01-23,0,"Convertible Note",0,0,0,3,0,,,,,
"6767","The Elegant Monkeys (TEM)","Health Care, Internet Services","Tel Aviv-jaffa, Tel Aviv, Israel","Operating",,2014-07-06,1,"Health Care, Internet of Things","1-10",2,2,2017-01-07,0,"Series Unknown",0,0,0,4,0,,,,,
"6768","Tripsta","Travel and Tourism, Media and Entertainment, Events, Transportation","Athens, Attiki, Greece","Operating",,2005-01-01,,"Transportation, Travel, Ticketing, Tourism","251-500",0,,,0,,0,0,0,,,,,,,
"6769","TableTime","Hardware, Food and Beverage","Santa Cruz, California, United States","Operating",,2015-02-01,,"B2B, Restaurants, SaaS, NFC","1-10",2,2,2015-10-19,10000,"Seed",10000,10000,20000,,,,,,,
"6770","TUTORize","Media and Entertainment, Education, Video","Koblenz, Rheinland-Pfalz, Germany","Operating",,2011-01-01,,"Education, Training, Video, Tutoring","1-10",1,1,2012-01-01,0,"Seed",0,646950,646950,1,0,,,,,
"6771","TwentyThree","Media and Entertainment, Software, Sales and Marketing, Video","Copenhagen, Hovedstaden, Denmark","Operating",,2006-01-01,4,"Social Media Marketing, Software, Video, Digital Marketing","11-50",3,,,0,,0,0,0,,,,,,,
"6772","Tunezy","Media and Entertainment, Music and Audio","Toronto, Ontario, Canada","Was Acquired",,2011-01-01,7,"Music","11-50",2,1,2012-04-10,0,"Series Unknown",0,0,0,1,0,,,,,
"6773","True Incube","Hardware, Commerce and Shopping, Payments, Financial Services, Lending and Investments, Mobile","Bangkok, Krung Thep, Thailand","Operating",,2013-01-01,4,"E-Commerce, Incubators, Mobile, Telecommunications, Payments, Venture Capital",,1,,,0,,0,0,0,,,,,,,
"6774","Tixr","Commerce and Shopping, Media and Entertainment, Events, Software, Mobile","Santa Monica, California, United States","Operating",,2013-02-25,1,"Ticketing, Mobile, Software, SaaS, E-Commerce","11-50",2,2,2016-08-01,0,"Series Unknown",0,0,0,2,0,,,,,
"6775","Tank Stream Labs","Financial Services, Lending and Investments","Sydney, New South Wales, Australia","Operating",,2012-11-01,23,"Incubators, Collaboration","11-50",3,,,0,,0,0,0,,,,,,,
"6776","TempMine","Professional Services, Financial Services","Boston, Massachusetts, United States","Closed",,2009-01-01,1,"Recruiting, Finance","1-10",0,1,2009-09-11,18000,"Seed",18000,18000,18000,1,0,,,,,
"6777","tacterion GmbH","Science and Engineering, Hardware, Information Technology, Software, Internet Services","Munich, Bayern, Germany","Was Acquired",,2015-01-01,1,"B2B, Sensor, Information Technology, Robotics, Internet of Things","1-10",3,2,2016-10-02,0,"Series A",0,30290,30290,1,1,,,,,
"6778","TapGen","Platforms, Software, Sales and Marketing, Mobile, Advertising","Toronto, Ontario, Canada","Operating",,2011-01-01,,"iOS, Mobile, Ad Network, Advertising, Android","1-10",2,,,0,,0,0,0,,,,,,,
"6779","Tech Open Air","Media and Entertainment, Events, Community and Lifestyle","Berlin, Berlin, Germany","Operating",,2012-01-01,84,"Content, Social Entrepreneurship, Events","11-50",1,1,2016-08-01,0,"Seed",0,0,0,1,0,,,,,
"6780","Tappy","Apps, Software","Los Angeles, California, United States","Was Acquired",,2014-01-01,14,"Apps","1-10",0,,,0,,0,0,0,,,,,,,
"6781","TRYSTEVE",,"Soquel, California, United States","Operating",,2017-01-17,,,"1-10",2,1,2017-01-07,0,"Seed",0,0,0,,,,,,,
